"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"Warszawa Mokotów 2 pokoje garaż taras sauna sklepy",821000,22806,2,36,"Służewiec","Mokotów","pełna własność","do wykończenia",NA,"balkon, taras","350 zł","garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Przestronne 3-pokojowe mieszkanie na Pradze Płd",899000,11337,3,79.3,"Grochów","Praga-Południe",NA,"do remontu","2/3","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","prywatny",2002,"blok",NA,"nie","teren zamknięty, domofon / wideofon","oddzielna kuchnia"
"3-pokojowe mieszkanie przy ul. Kłobuckiej",940000,16906,3,55.6,"Wyczółki","Ursynów","pełna własność","do zamieszkania","2/5","balkon","750 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2019,NA,NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"Mieszkanie 86,69 m2 z balkonem i miejscem post.",731500,8438,3,86.69,"Czechowice","Ursus","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe","gazowe","pierwotny","biuro nieruchomości",2025,NA,NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","silikat"
"GOTOWE Mieszkanie 4-pok. 81,75 m2. URSYNÓW",986000,12061,4,81.75,"Jeziorki Południowe","Ursynów","pełna własność","do wykończenia","3/4",NA,NA,NA,"miejskie","pierwotny","prywatny",2023,"blok",NA,"nie",NA,"plastikowe"
"LOFT GARDEN Wesoła-ETAPIII-55m2-apart. z ogródkiem",732500,13151,3,55.7,"Zielona-Grzybowa","Wesoła","pełna własność",NA,"parter/1","balkon, ogródek","60 zł","garaż/miejsce parkingowe",NA,"pierwotny","deweloper",2025,"apartamentowiec",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","cegła"
"LOFT GARDEN Wesoła ETAP II 53-99m2 - apart. LOFT",1149400,11519,4,99.78,"Zielona-Grzybowa","Wesoła","pełna własność",NA,"1/1","balkon, taras","80 zł","garaż/miejsce parkingowe",NA,"pierwotny","deweloper",2025,"apartamentowiec",NA,"nie",NA,"cegła"
"2 pokoje w Śródmieściu",899000,21405,2,42,"Muranów","Śródmieście","pełna własność","do zamieszkania","1/6","balkon","900 zł",NA,"miejskie","wtórny","biuro nieruchomości",1960,"blok",NA,"tak","domofon / wideofon","inny"
"Sprzedam/2 Pokoje z Garderobą/Bielany/Przy Agorze",810000,18409,2,44,"Huta","Bielany","pełna własność","do zamieszkania","6/9","balkon","500 zł",NA,"miejskie","wtórny","biuro nieruchomości",2014,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Atrakcyjne 2 Pokojowe Przy Metrze Imielin !!!",1520000,19740,2,77,"Grabów","Ursynów",NA,NA,"8/8",NA,NA,NA,NA,"wtórny","biuro nieruchomości",2006,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Zamknięta, zielona enklawa w centrum Bielan",799000,13847,3,57.7,"Chomiczówka","Bielany","spółdzielcze wł. prawo do lokalu","do zamieszkania","2/2","balkon","650 zł",NA,"miejskie","wtórny","biuro nieruchomości",1992,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"Kamienica*Winda*42m2*Stara Ochota",699000,16643,2,42,"Stara Ochota","Ochota","pełna własność","do wykończenia","1/6","balkon","900 zł",NA,"miejskie","wtórny","biuro nieruchomości",1959,"kamienica",NA,"tak","domofon / wideofon","cegła"
"Penthouse z tarasem i pięknym widokiem, Wola",5567000,37410,5,148.81,"Mirów","Wola",NA,NA,"> 10/11","taras",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2021,NA,NA,"nie",NA,"dwupoziomowe, pom. użytkowe"
"3 pokoje - rozkładowe - do aranżacji",850000,14238,3,59.7,"Rakowiec","Ochota",NA,"do remontu","1/4","balkon","700 zł",NA,NA,"wtórny","biuro nieruchomości",1970,NA,NA,"nie",NA,"piwnica"
"2 pokojowe przy parku Szczęśliwickim-Ogrody Shiraz",1030000,18969,2,54.3,"Szczęśliwice","Ochota","pełna własność","do zamieszkania","parter/3",NA,"550 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2006,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"Wyjątkowe 2 pokoje, blisko Metro, las bielańsk",815520,16990,2,48,"Stare Bielany","Bielany","pełna własność","do zamieszkania","1/4","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"nie","domofon / wideofon","piwnica"
"Komfortowe 2 pokoje",749000,14762,2,50.74,"Bemowo-Lotnisko","Bemowo",NA,"do zamieszkania","parter/8","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"tak","domofon / wideofon","piwnica"
"Mieszkanie dwupokojowe + garaz.",560000,15977,2,35.05,"Kawęczyn-Wygoda","Rembertów","pełna własność","do zamieszkania","3/5","balkon","600 zł",NA,"miejskie","wtórny","biuro nieruchomości",2022,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Mieszkanie 2 pokojowe na Bemowie",583000,15757,2,37,"Jelonki Północne","Bemowo",NA,"do wykończenia","5/11","balkon","490 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",NA,"blok",NA,"nie",NA,"wielka płyta"
"2 Pokojowe Mieszkanie 43.59m2 Do Zamieszkania KW",580000,13306,2,43.59,"Grodzisk","Białołęka","pełna własność","do zamieszkania","2/2","balkon","499 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2021,"blok",NA,"nie","domofon / wideofon","inny"
"Właściciel - Nowoczesne - pod klucz - Daszyńskiego",2895000,27837,4,104,"Czyste","Wola","pełna własność","do zamieszkania","4/8",NA,"1 100 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja"
"Nowoczesny Apartament 3pok. klima - PKP Rakowiec",1520000,18095,3,84,"Rakowiec","Ochota","pełna własność","do zamieszkania",NA,"balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2022,"apartamentowiec",NA,"tak","domofon / wideofon","klimatyzacja"
"Trzy pokojowe, Bliska Wola, balkon, opcja garażu",958000,20305,3,47.18,"Odolany","Wola","pełna własność","do zamieszkania","> 10/14","balkon","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"blok",NA,"tak","domofon / wideofon, rolety antywłamaniowe","silikat"
"Mieszkanie, 104 m², Warszawa",1770000,17019,4,104,"Błonia Wilanowskie","Wilanów",NA,NA,"parter/4",NA,"875 zł",NA,NA,"wtórny","biuro nieruchomości",2010,"apartamentowiec",NA,"tak",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Oddzielna kuchnia | ciche | balkon | dwustronne",919000,16801,2,54.7,"Czerniaków","Mokotów","pełna własność","do zamieszkania","4/4","balkon","787 zł",NA,"gazowe","wtórny","biuro nieruchomości",2003,"apartamentowiec",NA,"tak","system alarmowy, monitoring / ochrona","oddzielna kuchnia, pom. użytkowe"
"Metro Młociny/Taras/Balkon/6 pokoi",1890000,10422,6,181.35,"Młociny","Bielany","pełna własność","do zamieszkania","3/4",NA,"1 890 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2000,"blok",NA,"tak","monitoring / ochrona","cegła"
"Mokotów /43 m2",840000,19585,2,42.89,"Ksawerów","Mokotów","pełna własność","do zamieszkania",NA,"balkon",NA,NA,"miejskie","wtórny","prywatny",2008,"blok",NA,"tak",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"Okazja! Rozkładowe mieszkanie 2 pok. Tarchomin",649000,12315,2,52.7,"Nowodwory","Białołęka","pełna własność","do zamieszkania","2/4","balkon","750 zł",NA,"miejskie","wtórny","biuro nieruchomości",2002,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","cegła"
"Kamienica -Park krajobrazowy",1200000,10256,4,117,"Międzylesie","Wawer","pełna własność",NA,"3/3",NA,NA,NA,NA,"wtórny","biuro nieruchomości",1952,"kamienica",NA,"nie",NA,"cegła"
"3 pokoje na Woli/ w pełni umeblowane/ nowe bud",950000,20000,3,47.5,"Odolany","Wola","pełna własność","do zamieszkania","2/14","balkon","622 zł",NA,"miejskie","wtórny","prywatny",2018,"blok",NA,"tak","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"Kamienica 1925r. - 2 balkony, parking, 340H.",2880000,38919,3,74,"Śródmieście Południowe","Śródmieście","pełna własność","do remontu","1/5","balkon","900 zł",NA,"miejskie","wtórny","biuro nieruchomości",1925,"kamienica",NA,"tak","monitoring / ochrona","cegła"
"ul. Krzyżówki mieszkanie gotowe do wykończenia",850000,14407,3,59,"Żerań","Białołęka","pełna własność","do wykończenia","7/7",NA,"905 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2020,"blok",NA,"tak","monitoring / ochrona","cegła"
"Bezpośrednio I Apartament I Deweloperski I 106m2 I",1859375,17479,4,106.38,"Siekierki","Mokotów","pełna własność","do wykończenia","3/3",NA,NA,NA,NA,"pierwotny","prywatny",2023,"apartamentowiec",NA,"nie",NA,"żelbet"
"2 pokoje Mokotów, Mordor 20 min., Stegny",938086,19900,2,47.14,"Wierzbno","Mokotów","pełna własność","do zamieszkania","parter","balkon","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"Mennica Residence A - Sprzedam Apartament",1204325,33500,1,35.95,"Ulrychów","Wola","pełna własność","do zamieszkania","3/8","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2018,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","silikat"
"Mieszkanie - Warszawa Włochy",998500,14705,3,67.9,"Raków","Włochy",NA,NA,"1/6",NA,NA,NA,NA,"wtórny","biuro nieruchomości",2026,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"4 oddzielne pok. + kuchnia |balkon|piwnica| Wola",789000,14887,4,53,"Nowolipki","Wola","pełna własność","do remontu","4/4","balkon","500 zł",NA,"miejskie","wtórny","biuro nieruchomości",1970,"blok",NA,"nie","domofon / wideofon","inny"
